PID      COMM                     cpu%     RSS_MB
2595151  nav_container_m          32.7         66
2595143  gzserver                 28.0       1232
2595145  small_glim_node          17.2         89
2595149  robot_localizat          14.8         69
2595147  perception_cont           4.4         64
2595155  waypoint_execut           2.9         27
2595153  simulated_gimba           1.2         23
1663     containerd                0.2         14
657989   gvfsd-dnssd               0.0          3
657970   gvfsd-network             0.0          4
2820     gvfsd-trash               0.0          6
2172     dockerd                   0.0         21
1214198  gvfsd-http                0.0          4
