PID      COMM                     cpu%     RSS_MB
2595151  nav_container_m          32.9         66
2595143  gzserver                 27.9       1232
2595145  small_glim_node          16.8         91
2595149  robot_localizat           9.5         69
2595147  perception_cont           4.4         65
2595155  waypoint_execut           2.9         26
2595153  simulated_gimba           1.2         24
657989   gvfsd-dnssd               0.0          3
657970   gvfsd-network             0.0          4
2820     gvfsd-trash               0.0          6
2172     dockerd                   0.0         21
1663     containerd                0.0         14
1214198  gvfsd-http                0.0          4
