PID      COMM                     cpu%     RSS_MB
2595151  nav_container_m          31.1         64
2595143  gzserver                 29.5       1232
2595145  small_glim_node          15.8         86
2595149  robot_localizat           6.6         69
2595147  perception_cont           4.1         64
2595155  waypoint_execut           3.1         27
2595153  simulated_gimba           1.2         23
2172     dockerd                   0.1         21
1663     containerd                0.1         14
657989   gvfsd-dnssd               0.0          3
657970   gvfsd-network             0.0          4
2820     gvfsd-trash               0.0          6
1214198  gvfsd-http                0.0          4
