top - 01:27:59 up 4 days,  7:36,  1 user,  load average: 6.95, 7.03, 7.11
Threads: 2305 total,   2 running, 2303 sleeping,   0 stopped,   0 zombie
%Cpu(s):  5.6 us,  1.6 sy,  0.0 ni, 92.9 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem :  15763.7 total,   6752.5 free,   6718.4 used,   2292.8 buff/cache
MiB Swap:   2048.0 total,    188.9 free,   1859.1 used.   8649.7 avail Mem 

 进程号 USER      PR  NI    VIRT    RES    SHR    %CPU  %MEM     TIME+ COMMAND
2595145 cola      20   0 2839596  92780  42732 S  11.8   0.6   0:28.85 small_g+
2595149 cola      20   0  963360  70920  45460 S  11.8   0.4   0:11.02 robot_l+
2595648 cola      20   0  963360  70920  45460 S  11.8   0.4   0:06.76 robot_l+
2595151 cola      20   0 2009692  68084  25884 S  11.8   0.4   0:48.20 nav_con+
2595210 cola      20   0 2009692  68084  25884 S  11.8   0.4   0:47.35 nav_con+
2595157 cola      20   0 2997276 276300 167548 S  11.8   1.7   0:58.18 rviz2
2601390 cola      20   0   18688   5952   3264 R  11.8   0.0   0:00.03 top
   2216 root      20   0 1377696  27772   3264 S   5.9   0.2  17:13.54 ToDesk_+
   2610 cola      -6   0 3075700  13740  10668 S   5.9   0.1   4:28.12 alsa-si+
   2727 cola      20   0 5178072 406124  81124 R   5.9   2.5  64:12.13 gnome-s+
   3681 cola      20   0   49.2g 161664  67256 S   5.9   1.0  66:24.88 msedge
   3750 cola      20   0   49.2g 161664  67256 S   5.9   1.0  31:40.26 VizComp+
2595492 cola      20   0 5964988 365768 197884 S   5.9   2.3   0:04.02 gzclient
2595512 cola      20   0 5964988 365768 197884 S   5.9   2.3   0:01.44 gzclient
2595137 cola      20   0 1616792  62076  30456 S   5.9   0.4   0:13.29 joint_s+
2595429 cola      20   0 8917960   1.2g 139920 S   5.9   7.8   0:03.99 gzserver
2595430 cola      20   0 8917960   1.2g 139920 S   5.9   7.8   0:04.02 gzserver
2595465 cola      20   0 8917960   1.2g 139920 S   5.9   7.8   0:58.88 gzserver
2595467 cola      20   0 8917960   1.2g 139920 S   5.9   7.8   0:36.77 gzserver
2595147 cola      20   0 1115320  66224  46640 S   5.9   0.4   0:01.92 percept+
2595306 cola      20   0 1115320  66224  46640 S   5.9   0.4   0:01.45 percept+
